"rid", "binaryID"
12268,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000
13096,10000000010001000000000000000000000000000000001000000000000000000000000000000000010001
13105,10000000010001000000000000000000000000000000001000000000000000000000000000000000010010
13106,10000000010001000000000000000000000000000000001000000000000000000000000000000000010011
11058,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000
13039,100000000100010000000000000000000000000000000010000000000000000000000000000000000000001
12285,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000
13719,100000000100010000000000000000000000000000000010000000000000000000000000000000000011001
13092,100000000100010000000000000000000000000000000010000000000000000000000000000000000011010
12269,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000
13098,100000000100010000000000000000000000000000000010000000000000000000000000000000000100001
13101,100000000100010000000000000000000000000000000010000000000000000000000000000000000100010
13468,100000000100010000000000000000000000000000000010000000000000000000000000000000000100011
13108,100000000100010000000000000000000000000000000010000000000000000000000000000000000100100
13119,100000000100010000000000000000000000000000000010000000000000000000000000000000000100101
11059,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000
13353,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000001
12286,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000
13718,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110001
13360,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110010
12270,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000
13371,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000001
13097,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000010
13103,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000011
13122,1000000001000100000000000000000000000000000000100000000000000000000000000000000001001000
13129,1000000001000100000000000000000000000000000000100000000000000000000000000000000001001010
11060,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000
13398,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000001
12287,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100000
12288,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001
13083,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100010
12271,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000
13133,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000001
13100,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000100
11061,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000000
12746,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001
13084,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000000
12289,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000010
12290,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011
12272,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000000
13127,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000001
13142,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000010
13372,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000011
